ProteinID,GeneID,Query.Length,Description,SequenceID,Length,GeneSymbol,GeneSymbol2
FUN_019567-T1,FUN_019567,Length:307,Mitochondrial 2-oxoglutarate/malate carrier protein [Acropora cervicornis],KAK2565768.1,246,NA,NA
FUN_019580-T1,FUN_019580,Length:463,Protein sidekick-2 [Acropora cervicornis],KAK2569602.1,512,SDK2,SDK2
FUN_019581-T1,FUN_019581,Length:371,PDZ domain-containing protein GIPC3-like [Acropora millepora],XP_029197510.2,389,LCP2,LCP2
FUN_019582-T1,FUN_019582,Length:1468,Receptor-type tyrosine-protein phosphatase S [Acropora cervicornis],KAK2569918.1,1293,PTPRS,PTPRS
FUN_019583-T1,FUN_019583,Length:557,sulfite oxidase-like isoform X1 [Acropora muricata],XP_067028605.1,557,HAOL,HAOL
FUN_019592-T1,FUN_019592,Length:2119,Dedicator of cytokinesis protein 7 [Acropora cervicornis],KAK2569988.1,1852,DOCK7,DOCK7
FUN_019593-T1,FUN_019593,Length:530,excitatory amino acid transporter 1-like [Acropora palmata],XP_074611699.1,530,BAAT,BAAT
FUN_019595-T1,FUN_019595,Length:357,Cystathionine gamma-lyase [Acropora cervicornis],KAK2569991.1,461,CTH,CTH
FUN_019598-T1,FUN_019598,Length:496,Decarboxylase iboD [Acropora cervicornis],KAK2569792.1,440,ACMSD,ACMSD
FUN_019608-T1,FUN_019608,Length:1082,hypothetical protein P5673_005714 [Acropora cervicornis],KAK2569861.1,665,NA,NA
FUN_019613-T1,FUN_019613,Length:448,Protein HGV2 [Acropora cervicornis],KAK2569863.1,290,GPRASP1,GPRASP1
FUN_019614-T1,FUN_019614,Length:349,cAMP-dependent protein kinase catalytic subunit alpha [Acropora cervicornis],KAK2569982.1,306,PRKACA,PRKACA
FUN_019617-T1,FUN_019617,Length:324,Ketimine reductase mu-crystallin [Acropora cervicornis],KAK2571943.1,331,CRYM,CRYM
FUN_019618-T1,FUN_019618,Length:376,"Actin-related protein 2/3 complex subunit 1A-A, partial [Acropora cervicornis]",KAK2571947.1,262,NA,NA
FUN_019619-T1,FUN_019619,Length:558,Intraflagellar transport protein 56 [Acropora cervicornis],KAK2571945.1,657,IFT56,IFT56
FUN_019621-T1,FUN_019621,Length:371,PRKCA-binding protein [Desmophyllum pertusum],KAJ7370696.1,355,GPRASP1,GPRASP1
FUN_019622-T1,FUN_019622,Length:522,Dynein regulatory complex subunit 3 [Acropora cervicornis],KAK2571949.1,156,DRC3,DRC3
FUN_019638-T1,FUN_019638,Length:243,hypothetical protein P5673_003214 [Acropora cervicornis],KAK2571813.1,200,NA,NA
FUN_019644-T1,FUN_019644,Length: 153,hypothetical protein,,NA,NA,NA
FUN_019649-T1,FUN_019649,Length: 95,Vacuolar protein sorting-associated protein 29,,NA,GPRASP1,GPRASP1
FUN_019652-T1,FUN_019652,Length: 519,sorting nexin-8-like [Acropora muricata],XP_067044109.1,535,GPRASP1,GPRASP1
FUN_019656-T1,FUN_019656,Length: 318,cAMP-dependent protein kinase type I-alpha regulatory subunit [Acropora cervicornis],KAK2571852.1,725,PRKAR1A,PRKAR1A
FUN_019657-T1,FUN_019657,Length: 374,cAMP-dependent protein kinase type I-alpha regulatory subunit [Acropora cervicornis],KAK2571852.1,725,PRKAR1A,PRKAR1A
FUN_019660-T1,FUN_019660,Length: 1148,Lethal(2) giant larvae protein-like protein 1 [Acropora cervicornis],KAK2571657.1,1053,MLPL1,MLPL1
FUN_019661-T1,FUN_019661,Length: 432,Protein Njmu-R1 [Acropora cervicornis],KAK2571655.1,363,C17orf75,C17orf75
FUN_019680-T1,FUN_019680,Length: 1080,Ubiquitin carboxyl-terminal hydrolase 7 [Acropora cervicornis],KAK2565584.1,810,UCHH2,UCHH2
FUN_019683-T1,FUN_019683,Length: 457,60S ribosomal protein L3-like [Acropora millepora],XP_029210023.1,427,RPL3L,RPL3L
FUN_019684-T1,FUN_019684,Length: 104,hypothetical protein P5673_010718 [Acropora cervicornis],KAK2565591.1,100,NA,NA
FUN_019688-T1,FUN_019688,Length: 1155,TATA element modulatory factor-like isoform X3 [Acropora millepora],XP_029198748.2,1169,TMF1,TMF1
FUN_019718-T1,FUN_019718,Length: 772,LIM domain-containing protein PLIM2a [Acropora cervicornis],KAK2549903.1,783,LCP2,LCP2
FUN_019728-T1,FUN_019728,Length: 709,ATP-dependent RNA helicase DHX15 [Acropora cervicornis],KAK2558556.1,665,MOV10,MOV10
FUN_019729-T1,FUN_019729,Length: 271,Uroporphyrinogen-III synthase [Acropora cervicornis],KAK2558434.1,300,UROS,UROS
FUN_019730-T1,FUN_019730,Length: 572,Drebrin-like protein A [Acropora cervicornis],KAK2558437.1,479,GPRASP1,GPRASP1
FUN_019731-T1,FUN_019731,Length: 161,HIG1 domain family member 1B-like isoform X1 [Acropora palmata],XP_074615570.1,161,MRGPRX1,MRGPRX1
FUN_019733-T1,FUN_019733,Length: 1049,uncharacterized protein [Acropora muricata],XP_067036834.1,1927,GPRASP1,GPRASP1
FUN_019736-T1,FUN_019736,Length: 692,Chaperone protein DnaK [Acropora cervicornis],KAK2558440.1,772,NOPCHAP1,NOPCHAP1
FUN_019737-T1,FUN_019737,Length: 585,Chymotrypsinogen 2 [Acropora cervicornis],KAK2558439.1,511,A12M2,A12M2
FUN_019739-T1,FUN_019739,Length: 136,mediator of RNA polymerase II transcription subunit 28-like [Acropora millepora],XP_029208976.2,136,POLR2A,POLR2A
FUN_019740-T1,FUN_019740,Length: 172,PREDICTED: myosin regulatory light chain 12B-like [Acropora digitifera],XP_015775292.1,172,MYLIP,MYLIP
FUN_019741-T1,FUN_019741,Length: 171,myosin regulatory light chain 12A-like [Acropora muricata],XP_067037472.1,205,MYLIP,MYLIP
FUN_019743-T1,FUN_019743,Length: 1081,SH3 and PX domain-containing protein 2B [Acropora cervicornis],KAK2558414.1,1036,SH3PXD2B,SH3PXD2B
FUN_019747-T1,FUN_019747,Length: 624,poly(U)-binding-splicing factor PUF60-B-like isoform X1 [Orbicella faveolata],XP_020603637.1,637,RFX1,RFX1
FUN_019748-T1,FUN_019748,Length: 210,glutaredoxin-3-like [Acropora palmata],XP_074615561.1,324,NA,NA
FUN_019752-T1,FUN_019752,Length: 325,Vesicular integral-membrane protein VIP36 [Acropora cervicornis],KAK2558485.1,288,GINM1,GINM1
FUN_019753-T1,FUN_019753,Length: 1280,catenin alpha-2-like [Acropora millepora],XP_044170775.1,1280,PZP2P,PZP2P
FUN_019771-T1,FUN_019771,Length: 529,nuclear pore complex protein Nup54-like [Acropora millepora],XP_029183001.2,529,NPIPA1,NPIPA1
FUN_019784-T1,FUN_019784,Length: 280,unnamed protein product [Porites lobata],CAH3046902.1,280,UBA52,UBA52
FUN_019791-T1,FUN_019791,Length:231,hypothetical protein C008-C4 [Acropora millepora],AET09720.1,231,NA,NA
FUN_019800-T1,FUN_019800,Length:270,17-beta-hydroxysteroid dehydrogenase 14-like [Acropora millepora],XP_029205323.1,270,KRT14L1,KRT14L1
FUN_019801-T1,FUN_019801,Length:358,Isocitrate dehydrogenase [NADP] cytoplasmic [Acropora cervicornis],KAK2566320.1,429,H6PD,H6PD
FUN_019808-T1,FUN_019808,Length:540,PREDICTED: uncharacterized protein LOC107342794 isoform X1 [Acropora digitifera],XP_015763786.1,527,ATP6V1A2,ATP6V1A2
FUN_019816-T1,FUN_019816,Length:446,Chitinase 1 [Acropora cervicornis],KAK2566179.1,446,A12M1,A12M1
FUN_019817-T1,FUN_019817,Length:291,Pleckstrin homology domain-containing family F member 2 [Acropora cervicornis],KAK2566177.1,439,SHF,SHF
FUN_019821-T1,FUN_019821,Length:110,DnaJ-like protein subfamily C member 5 [Acropora cervicornis],KAK2566217.1,99,ABCC5,ABCC5
FUN_019823-T1,FUN_019823,Length:398,"3-ketoacyl-CoA thiolase, mitochondrial-like [Acropora muricata]",XP_067054802.1,398,TUFMP1,TUFMP1
FUN_019825-T1,FUN_019825,Length:625,2-hydroxyacyl-CoA lyase 2 [Acropora cervicornis],KAK2566212.1,492,HACL2,HACL2
FUN_019827-T1,FUN_019827,Length:286,Na(+)/H(+) exchange regulatory cofactor NHE-RF1-like [Acropora millepora],XP_029213844.2,286,NA,NA
FUN_019829-T1,FUN_019829,Length:684,"SBE1 1 4 alpha-glucan branching enzyme, partial [Acropora cervicornis]",KAK2566211.1,1595,GBE1,GBE1
FUN_019832-T1,FUN_019832,Length:2810,Cartilage oligomeric matrix protein [Acropora cervicornis],KAK2566477.1,2272,COMP,COMP
FUN_019835-T1,FUN_019835,Length:759,hypothetical protein P5673_009992 [Acropora cervicornis],KAK2566471.1,466,NA,NA
FUN_019847-T1,FUN_019847,Length:321,hypothetical protein P5673_013547 [Acropora cervicornis],KAK2563195.1,242,NA,NA
FUN_019894-T1,FUN_019894,Length:336,nuclear distribution protein nudE-like 1-A [Porites lutea],XP_073245003.1,336,NDEL1,NDEL1
FUN_019901-T1,FUN_019901,Length:236,glutathione S-transferase U20-like [Acropora millepora],XP_029193348.2,236,GSTA1,GSTA1
FUN_019903-T1,FUN_019903,Length:666,putative ATP-dependent RNA helicase DDX5 [Acropora cervicornis],KAK2571777.1,685,HFM1,HFM1
FUN_019904-T1,FUN_019904,Length:352,Dual specificity mitogen-activated protein kinase kinase 6 [Acropora cervicornis],KAK2571778.1,248,MAP3K6,MAP3K6
FUN_019907-T1,FUN_019907,Length:300,"hydroxyacylglutathione hydrolase, mitochondrial-like isoform X2 [Acropora muricata]",XP_067043652.1,255,TUFMP1,TUFMP1
FUN_019909-T1,FUN_019909,Length:309,regulator of microtubule dynamics protein 1-like isoform X2 [Acropora muricata],XP_067043637.1,232,RMDN1,RMDN1
FUN_019918-T1,FUN_019918,Length:322,Gamma-glutamyl hydrolase [Acropora cervicornis],KAK2571885.1,616,GGH,GGH
FUN_019919-T1,FUN_019919,Length:322,Gamma-glutamyl hydrolase [Acropora cervicornis],KAK2571885.1,616,GGH,GGH
FUN_019921-T1,FUN_019921,Length:202,5-demethoxyubiquinone hydroxylase [Acropora cervicornis],KAK2571886.1,106,FA2H,FA2H
FUN_019924-T1,FUN_019924,Length:473,BUB3-interacting and GLEBS motif-containing protein ZNF207-like [Acropora millepora],XP_029179856.1,473,TRIM51,TRIM51
FUN_019940-T1,FUN_019940,Length:368,Alpha-parvin [Acropora cervicornis],KAK2567959.1,178,PARVA,PARVA
FUN_019946-T1,FUN_019946,Length:712,Prolyl endopeptidase [Acropora cervicornis],KAK2568122.1,411,PREP,PREP
FUN_019977-T1,FUN_019977,Length:538,Bifunctional coenzyme A synthase [Acropora cervicornis],KAK2548340.1,538,COASY,COASY
FUN_019979-T1,FUN_019979,Length:387,Proteasomal ubiquitin receptor ADRM1 [Acropora cervicornis],KAK2548342.1,354,ADRM1,ADRM1
FUN_019980-T1,FUN_019980,Length:258,nucleolar transcription factor 1-like [Acropora muricata],XP_067047401.1,258,MYT1L,MYT1L
FUN_019981-T1,FUN_019981,Length:289,Inorganic pyrophosphatase [Acropora cervicornis],KAK2548347.1,244,PP1P,PP1P
FUN_019983-T1,FUN_019983,Length:211,BTB/POZ domain-containing protein kctd15-like [Acropora palmata],XP_074608302.1,211,NA,NA
FUN_020010-T1,FUN_020010,Length:500,"solute carrier family 2, facilitated glucose transporter member 8-like [Acropora muricata]",XP_067045657.1,500,SLC2A3P1,SLC2A3P1
FUN_020017-T1,FUN_020017,Length:929,Ras GTPase-activating protein 1 [Acropora cervicornis],KAK2552848.1,737,SMAP1,SMAP1
FUN_020018-T1,FUN_020018,Length:244,growth arrest-specific protein 1-like [Acropora palmata],XP_074619751.1,216,MEOX2,MEOX2
FUN_020026-T1,FUN_020026,Length:1427,putative insulin-like peptide receptor [Acropora cervicornis],KAK2552764.1,698,INSL1,INSL1
FUN_020027-T1,FUN_020027,Length:286,Alpha- and gamma-adaptin-binding protein p34 [Acropora cervicornis],KAK2552799.1,281,AAGAB,AAGAB
FUN_020034-T1,FUN_020034,Length:403,ubiquitin-like modifier-activating enzyme 5 isoform X1 [Acropora millepora],XP_044165060.1,404,UBA5,UBA5
FUN_020036-T1,FUN_020036,Length:256,PREDICTED: haloacid dehalogenase-like hydrolase domain-containing protein 2 [Acropora digitifera],XP_015761364.1,256,HDHD2,HDHD2
FUN_020039-T1,FUN_020039,Length:431,putative neuropeptide Y receptor type 6 [Acropora millepora],XP_044165087.1,431,NPY1R,NPY1R
FUN_020041-T1,FUN_020041,Length:219,39S ribosomal protein L10 [Acropora cervicornis],KAK2561593.1,186,MRPL10,MRPL10
FUN_020047-T1,FUN_020047,Length:2557,Collagen alpha-1(XXVII) chain [Acropora cervicornis],KAK2561573.1,2772,COL27A1,COL27A1
FUN_020049-T1,FUN_020049,Length:1288,neurabin-1-like [Acropora muricata],XP_067018108.1,1288,NA,NA
FUN_020054-T1,FUN_020054,Length:1445,nuclear pore complex protein Nup160-like isoform X2 [Acropora millepora],XP_044165058.1,1444,NPIPA1,NPIPA1
FUN_020057-T1,FUN_020057,Length:821,Villin-1 [Acropora cervicornis],KAK2561525.1,805,VIL1,VIL1
FUN_020058-T1,FUN_020058,Length:576,Alpha-catulin [Acropora cervicornis],KAK2561524.1,757,NA,NA
FUN_020059-T1,FUN_020059,Length:318,guanidinobutyrase-like [Acropora millepora],XP_029203129.2,349,NA,NA
FUN_020061-T1,FUN_020061,Length:215,Ras-related protein Rab-5B [Acropora cervicornis],KAK2561522.1,173,GPRASP1,GPRASP1
FUN_020066-T1,FUN_020066,Length:1272,hypothetical protein P5673_008616 [Acropora cervicornis],KAK2566863.1,62,NA,NA
FUN_020070-T1,FUN_020070,Length:762,dynein axonemal assembly factor 5-like [Acropora millepora],XP_044162729.1,844,DNAAF1,DNAAF1
FUN_020072-T1,FUN_020072,Length:465,bone morphogenetic protein 1-like isoform X2 [Acropora muricata],XP_067015933.1,455,FILIP1LP1,FILIP1LP1
FUN_020074-T1,FUN_020074,Length:326,hypothetical protein P5673_008757 [Acropora cervicornis],KAK2566989.1,279,NA,NA
FUN_020075-T1,FUN_020075,Length:4083,Golgi-associated plant pathogenesis-related protein 1 [Acropora cervicornis],KAK2566988.1,4129,GLIPR1L1,GLIPR1L1
FUN_020078-T1,FUN_020078,Length:997,"Discoidin domain-containing receptor 2, partial [Acropora cervicornis]",KAK2566984.1,570,FCRL2,FCRL2
FUN_020081-T1,FUN_020081,Length:526,Cdc42-interacting protein 4-like protein [Acropora cervicornis],KAK2566985.1,473,XRCC4L,XRCC4L
FUN_020082-T1,FUN_020082,Length:789,SH2 domain-containing protein 3C-like isoform X1 [Acropora millepora],XP_029197805.2,823,LCP2,LCP2
FUN_020111-T1,FUN_020111,Length:439,"tryptophan--tRNA ligase, cytoplasmic-like isoform X2 [Orbicella faveolata]",XP_020604299.1,427,ATP6V1A2,ATP6V1A2
FUN_020112-T1,FUN_020112,Length:279,PREDICTED: leucine-rich repeat-containing protein 73-like [Acropora digitifera],XP_015774538.1,279,RXFP1,RXFP1
FUN_020117-T1,FUN_020117,Length:202,hypothetical protein P5673_027169 [Acropora cervicornis],KAK2551921.1,1076,NA,NA
FUN_020123-T1,FUN_020123,Length: 293,Chymotrypsin-like elastase family member 3B [Acropora cervicornis],KAK2552737.1,278,CELA3B,CELA3B
FUN_020125-T1,FUN_020125,Length: 296,PREDICTED: chymotrypsinogen B-like isoform X1 [Acropora digitifera],XP_015751924.1,310,SNRPBL1,SNRPBL1
FUN_020131-T1,FUN_020131,Length: 266,Chymotrypsin-C [Acropora cervicornis],KAK2552681.1,248,CTRC,CTRC
FUN_020134-T1,FUN_020134,Length: 850,"Exosome component 10, partial [Acropora cervicornis]",KAK2552699.1,633,EXOSC10,EXOSC10
FUN_020142-T1,FUN_020142,Length: 426,hypothetical protein P5673_026101 [Acropora cervicornis],KAK2552703.1,493,NA,NA
FUN_020144-T1,FUN_020144,Length: 122,hypothetical protein P5673_026103 [Acropora cervicornis],KAK2552705.1,89,NA,NA
FUN_020152-T1,FUN_020152,1 Length: 255,Serine/arginine-rich splicing factor 4 [Acropora cervicornis],KAK2552694.1,192,NA,NA
FUN_020154-T1,FUN_020154,Length: 1627,hypothetical protein P5673_005234 [Acropora cervicornis],KAK2570423.1,3060,NA,NA
FUN_020159-T1,FUN_020159,Length: 633,LOW QUALITY PROTEIN: polypeptide N-acetylgalactosaminyltransferase 13-like [Acropora millepora],XP_029198418.2,633,GALNT1,GALNT1
FUN_020161-T1,FUN_020161,Length: 597,polypeptide N-acetylgalactosaminyltransferase 13-like [Acropora muricata],XP_067020708.1,597,GALNT1,GALNT1
FUN_020163-T1,FUN_020163,Length: 540,formimidoyltransferase-cyclodeaminase-like isoform X1 [Acropora millepora],XP_029198452.2,540,ATP6V1A2,ATP6V1A2
FUN_020165-T1,FUN_020165,Length: 667,fibroblast growth factor receptor 4-like isoform X1 [Acropora millepora],XP_029198434.2,857,XRCC4L,XRCC4L
FUN_020169-T1,FUN_020169,Length: 1024,Solute carrier family 12 member 2 [Acropora cervicornis],KAK2570278.1,1030,SLC12A2,SLC12A2
FUN_020183-T1,FUN_020183,Length: 783,ATP-dependent zinc metalloprotease FTSH 4 [Acropora cervicornis],KAK2570385.1,731,GLI4,GLI4
FUN_020193-T1,FUN_020193,Length: 262,BTB and MATH domain-containing protein 36 [Acropora cervicornis],KAK2555864.1,365,LCP2,LCP2
FUN_020220-T1,FUN_020220,Length:453,hypothetical protein P5673_022574 [Acropora cervicornis],KAK2555890.1,384,NA,NA
FUN_020261-T1,FUN_020261,Length:575,Dihydroxy-acid dehydratase 2 [Acropora cervicornis],KAK2547664.1,260,HACD2,HACD2
FUN_020273-T1,FUN_020273,Length:189,outer membrane lipoprotein Blc-like [Acropora palmata],XP_074629951.1,207,GPIHBP1,GPIHBP1
FUN_020284-T1,FUN_020284,Length:4389,sacsin-like [Acropora millepora],XP_029197579.2,4393,NA,NA
FUN_020382-T1,FUN_020382,Length: 728,Pancreatic secretory granule membrane major glycoprotein GP2 [Acropora cervicornis],KAK2565267.1,1491,SCAMP1,SCAMP1
FUN_020385-T1,FUN_020385,Length: 814,Pancreatic secretory granule membrane major glycoprotein GP2 [Acropora cervicornis],KAK2565267.1,1491,SCAMP1,SCAMP1
FUN_020386-T1,FUN_020386,Length: 1382,Pancreatic secretory granule membrane major glycoprotein GP2 [Acropora cervicornis],KAK2565267.1,1491,SCAMP1,SCAMP1
FUN_020391-T1,FUN_020391,Length: 602,Pancreatic secretory granule membrane major glycoprotein GP2 [Acropora cervicornis],KAK2565267.1,1491,SCAMP1,SCAMP1
FUN_020392-T1,FUN_020392,Length: 291,thioredoxin-like protein 1 [Acropora millepora],XP_044173290.1,291,MAPK1IP1L,MAPK1IP1L
FUN_020396-T1,FUN_020396,Length: 1642,Unconventional myosin-Vb [Acropora cervicornis],KAK2565363.1,1550,MYO5B,MYO5B
FUN_020397-T1,FUN_020397,Length: 140,hypothetical protein P5673_003153 [Acropora cervicornis],KAK2571760.1,266,NA,NA
FUN_020398-T1,FUN_020398,Length: 890,hypothetical protein P5673_011338 [Acropora cervicornis],KAK2565366.1,843,NA,NA
FUN_020399-T1,FUN_020399,Length: 1496,uncharacterized protein [Acropora muricata],XP_067047088.1,1598,GPRASP1,GPRASP1
FUN_020404-T1,FUN_020404,Length: 168,centrin-3-like [Montipora foliosa],XP_068711497.1,168,NA,NA
FUN_020405-T1,FUN_020405,Length: 2564,talin-like isoform X1 [Acropora millepora],XP_044173299.1,2590,ATP6V1A2,ATP6V1A2
FUN_020406-T1,FUN_020406,Length: 127,uncharacterized protein LOC141873323 isoform X2 [Acropora palmata],XP_074613406.1,122,ATP6V1A2,ATP6V1A2
FUN_020408-T1,FUN_020408,Length: 1507,"Tetratricopeptide repeat protein 28, partial [Acropora cervicornis]",KAK2565354.1,1197,TTC28,TTC28
FUN_020418-T1,FUN_020418,Length: 482,Bone morphogenetic protein receptor type-2 [Acropora cervicornis],KAK2548015.1,447,BMPR2,BMPR2
FUN_020421-T1,FUN_020421,Length: 196,uncharacterized protein [Acropora muricata],XP_067022297.1,202,GPRASP1,GPRASP1
FUN_020423-T1,FUN_020423,Length: 373,Conjugated bile acid hydrolase [Acropora cervicornis],KAK2548013.1,1483,BAAT,BAAT
FUN_020425-T1,FUN_020425,Length: 381,Conjugated bile acid hydrolase [Acropora cervicornis],KAK2548013.1,1483,BAAT,BAAT
FUN_020427-T1,FUN_020427,Length: 1395,Collagen alpha chain [Acropora cervicornis],KAK2548011.1,1178,FGA,FGA
FUN_020428-T1,FUN_020428,Length:175,uncharacterized protein LOC114966725 [Acropora millepora],XP_029202541.2,175,GPRASP1,GPRASP1
FUN_020429-T1,FUN_020429,Length: 408,PTB domain-containing engulfment adapter protein 1-like [Acropora muricata],XP_067022332.1,406,GULP1,GULP1
FUN_020430-T1,FUN_020430,Length: 361,deoxyribonuclease-1-like isoform X1 [Acropora millepora],XP_044173547.1,462,ATP6V1A2,ATP6V1A2
FUN_020439-T1,FUN_020439,Length: 218,peptidyl-prolyl cis-trans isomerase B-like [Acropora millepora],XP_029194827.2,200,PIN1,PIN1
FUN_020440-T1,FUN_020440,Length: 191,peptidyl-prolyl cis-trans isomerase B-like [Acropora millepora],XP_029194827.2,200,PIN1,PIN1
FUN_020463-T1,FUN_020463,Length:415,Phospholipase A2 group XV [Acropora cervicornis],KAK2561458.1,407,PLA2G15,PLA2G15
FUN_020488-T1,FUN_020488,Length:719,Glycerol-3-phosphate dehydrogenase [Acropora cervicornis],KAK2561559.1,563,GPD1,GPD1
FUN_020492-T1,FUN_020492,Length:112,tRNA-His,,NA,MT-TH,MT-TH
FUN_020501-T1,FUN_020501,Length:319,"Mitochondrial amidoxime-reducing component 1, partial [Acropora cervicornis]",KAK2561854.1,276,MTARC1,MTARC1
FUN_020505-T1,FUN_020505,Length:2934,Perilipin-4 [Acropora cervicornis],KAK2561917.1,4582,PLIN4,PLIN4
FUN_020510-T1,FUN_020510,Length:208,transmembrane emp24 domain-containing protein 10-like [Acropora palmata],XP_074631013.1,208,PNPLA10P,PNPLA10P
FUN_020511-T1,FUN_020511,Length:247,unnamed protein product [Porites lobata],CAH3150264.1,247,UBA52,UBA52
FUN_020514-T1,FUN_020514,Length:706,Nematocyst expressed protein 8 [Acropora cervicornis],KAK2561681.1,1712,MEG8,MEG8
FUN_020515-T1,FUN_020515,Length:531,Nematocyst expressed protein 8 [Acropora cervicornis],KAK2561681.1,1712,MEG8,MEG8
FUN_020519-T1,FUN_020519,Length:419,Nematocyst expressed protein 8 [Acropora cervicornis],KAK2561682.1,563,MEG8,MEG8
FUN_020521-T1,FUN_020521,Length:334,Dehydrogenase/reductase SDR family member 7 [Acropora cervicornis],KAK2561677.1,285,NA,NA
FUN_020531-T1,FUN_020531,Length:1748,Collagen alpha-1(IV) chain [Acropora cervicornis],KAK2573472.1,1712,COL4A1,COL4A1
FUN_020532-T1,FUN_020532,Length:1967,Collagen alpha-2(IV) chain [Acropora cervicornis],KAK2573473.1,1949,COL4A2,COL4A2
FUN_020536-T1,FUN_020536,Length:87,Vacuolar protein sorting-associated protein 26C [Acropora cervicornis],KAK2573470.1,216,GPRASP1,GPRASP1
FUN_020537-T1,FUN_020537,Length:1757,Rho guanine nucleotide exchange factor 1 [Acropora cervicornis],KAK2573471.1,1494,ARHGEF1,ARHGEF1
FUN_020551-T1,FUN_020551,Length:466,hypothetical protein P5673_001560 [Acropora cervicornis],KAK2573854.1,503,NA,NA
FUN_020591-T1,FUN_020591,Length:476,putative bifunctional amine oxidase [Acropora cervicornis],KAK2547604.1,476,AOC1,AOC1
FUN_020592-T1,FUN_020592,Length:649,putative L-amino-acid oxidase YobN [Acropora cervicornis],KAK2547599.1,620,IL4I1,IL4I1
FUN_020600-T1,FUN_020600,Length:1133,PREDICTED: uncharacterized protein LOC107333256 [Acropora digitifera],XP_015753522.1,1131,PLGRKT,PLGRKT
